wantedAuthNo,lang,항목,한국어질문,모국어질문,확인이유,위험도,error
K130112607210029,zh,수습조건_미기재,"수습기간은 며칠이며, 수습기간 중 임금이 달라지면 얼마입니까?",试用期(수습기간)是几天，如果试用期(수습기간)期间工资不同，金额是多少？,公告写明面试及试用后待遇可能变动，所以需要先确认试用期天数和试用期工资。,높음,
K130112607210029,zh,사회보험_미기재,사회보험 가입이 됩니까?,会参加社会保险吗？,公告里没有写是否提供社会保险，需要提前确认。,높음,
K130112607210029,zh,기타,면접 및 수습 이후에 변동될 수 있는 근무 시간은 하루 몇 시간입니까?,面试及试用后可能变动的工作时间一天是几小时？,公告写明面试及试用后工作时间等待遇可能变动，需要先确认实际工作时间。,보통,
227873,zh,연장야간_조건미기재,"생산 일정에 따른 잔업, 특근 근무는 보통 월 몇 회입니까?",根据生产安排，加班和周末上班通常每月有几次？,加班和周末上班的次数会影响实际工作时间和收入。,높음,
227873,zh,임금_미확정,"급여가 면접 후 결정이라고 되어 있는데, 급여는 얼마입니까?",招聘信息写着工资是面试后决定(면접 후 결정)，请问工资是多少？,工资没有事先确定的话，录用后的实际收入可能会有很大差异。,높음,
KJAP002607240012,zh,사회보험_미기재,4대보험 가입이 되나요?,可以参加四大保险(4대보험)吗？,招聘信息里没有写是否提供4대보험，所以需要提前确认。,높음,
KJAP002607240012,zh,기타,격일근무는 하루 근무 후 하루 휴무가 맞습니까?,这里的隔日工作是指工作一天休息一天吗？,招聘信息只写了“격일근무”，所以需要确认具体是不是工作一天休息一天。,보통,
KJAP002607240012,zh,기타,지원 전에 신임경비교육 이수증이 꼭 필요합니까?,申请前必须已经有新任保安教育结业证吗？,招聘信息只写了“신임경비교육필수”，没有说明应聘前是否必须已完成，所以需要确认。,보통,
2607230002078,zh,실근로시간_미기재,하루 실근로시간은 몇 시간입니까?,每天的实际工作时间是多少小时？,招聘信息里没有写实际工作时间，所以需要先确认每天工作几小时。,보통,
2607230002078,zh,사회보험_미기재,이 채용은 4대보험에 가입됩니까?,这个岗位会参加四大保险(4대보험)吗？,招聘信息只写了“급여 및 4대보험 신고”，没有明确说明是否实际参加保险。,높음,
KF11472607240001,zh,사회보험_미기재,4대보험 가입 대상인지 확인해 주시겠습니까?,请问这份工作是否属于四大保险(4대보험)的参保对象？,招聘信息里没有写明是否加入社会保险，所以需要先确认。,높음,
KF11472607240001,zh,기타,15:00~19:30 근무에서 30분 휴게를 제외한 하루 소정근로시간은 4시간인지 확인해 주시겠습니까?,请问15:00~19:30这段时间里，扣除30分钟休息后，每天的约定工作时间(소정근로시간)是4小时吗？,招聘信息同时写了“15:00~19:30”和“하루4시간 근무/30분 휴게”，为避免对工作时数理解不同，需要先确认。,보통,
K130232607270072,zh,사회보험_미기재,사회보험 가입이 됩니까?,会参加社会保险吗？,招聘内容没有写明是否参加社会保险，所以需要提前确认。,높음,
K130232607270072,zh,임금_미확정,월급은 면접 후 협의 시 얼마로 결정됩니까?,月薪在面试后协商（면접 후 협의）时会定为多少？,招聘内容只写了“月350以上”和面试后协商，所以实际月薪没有明确确定。,높음,
K130232607270072,zh,기타,상여금은 면접 후 협의 시 얼마로 결정됩니까?,奖金在面试后协商（면접 후 협의）时会定为多少？,招聘内容只写了奖金面试后协商，所以奖金金额没有明确写明。,높음,
KJ20282607220003,zh,사회보험_미기재,사회보험에 가입됩니까?,会缴纳社会保险吗？,招聘信息里没有写是否提供社会保险，这会影响实际到手工资和工作条件。,높음,
K130112607200051,zh,사회보험_미기재,4대보험이 적용됩니까?,请问可以参加四大保险(4대보험)吗？,招聘内容里没有写社会保险，所以需要在应聘前确认是否提供。,높음,
K130042607150016,zh,사회보험_미기재,이 채용은 4대보험 가입 대상입니까?,这个岗位是否提供四大保险(4대보험)？,招聘内容里没有写明是否加入社会保险，这会影响实际到手工资和保障。,높음,
KJBK002607230006,zh,임금구성_불명확,월급 355만원에 포함된 전기선임수당은 얼마입니까?,包含在月薪355万韩元里的电气负责人津贴是多少？,公告写明月薪355万韩元，另有奖金和抄表津贴，且电气负责人津贴包含在内，但这项已包含的津贴金额没有写明。,높음,
KJBK002607230006,zh,사회보험_미기재,사회보험 가입이 됩니까?,可以参加社会保险吗？,公告里没有写是否提供社会保险，所以需要先确认。,높음,
K130232607200060,zh,수습조건_미기재,수습기간 3개월 동안 임금이 감액되면 감액률은 몇 퍼센트입니까?,3个月试用期(수습기간)内如果工资会减少，减薪比例是多少？,招聘信息只写了试用期3个月，但没有写试用期内工资是否会减少以及减少多少。,높음,
K130232607200060,zh,사회보험_미기재,사회보험에 가입됩니까?,会参加社会保险吗？,招聘信息里没有写是否提供社会保险，这会影响实际到手收入。,높음,
K130232607200060,zh,임금_미확정,연봉은 얼마입니까?,年薪是多少？,招聘信息只写了面试时可协商年薪，因此正式工资金额还没有确定。,높음,
K130052607210005,zh,수습조건_미기재,수습기간 3개월 동안 임금 감액이 있으면 감액률은 몇 %입니까?,3个月试用期(수습기간)内如果工资会减少，减薪比例是多少？,招聘信息只写了试用期为3个月，没有写试用期内工资是否会减少以及减少多少。,높음,
K130052607210005,zh,사회보험_미기재,사회보험 가입이 됩니까?,可以参加社会保险吗？,招聘信息里没有写是否提供社会保险，这会影响每月实际到手工资。,높음,
K130052607210005,zh,임금_미확정,"월급 2,156,880원~으로 되어 있는데 정확한 월급은 얼마입니까?","招聘信息写的是月薪2,156,880韩元起，实际确定的月薪是多少？","招聘信息只写了月薪从2,156,880韩元起，没有写最终确定的具体金额。",높음,
K130052607210005,zh,기타,재직 6개월 이후부터 지급되는 상여금 300%는 월급의 300%입니까?,工作满6个月后发放的300%奖金，是按月薪的300%计算吗？,招聘信息写了工作满6个月后发放300%奖金，但奖金的计算 기준이 분명하지 않습니다.,높음,
K130232607220049,zh,사회보험_미기재,4대보험이 적용됩니까?,请问适用四大保险(4대보험)吗？,招聘内容里没有写社会保险相关信息，所以需要在应聘前确认。,높음,
2607280004514,zh,실근로시간_미기재,소정근로시간은 주 몇 시간입니까?,约定工作时间(소정근로시간)每周是几小时？,每周工作时间没有写明，不容易准确判断工作强度和工资水平。,보통,
2607280004514,zh,사회보험_미기재,4대보험 가입이 됩니까?,是否提供四大保险(4대보험)？,社会保险是否提供没有写明，会影响实际到手工资和保险保障。,높음,
K130232607280072,zh,사회보험_미기재,사회보험은 가입됩니까?,提供社会保险吗？,招聘内容里没有写社会保险是否提供，所以需要先确认。,높음,
K130232607280072,zh,기타,계약직은 계약 기간 종료 후 재계약이 가능합니까?,这份固定期限岗位(계약직)在合同期满后可以续签吗？,招聘内容里只写了是合同制，没有说明合同结束后是否可以续签，所以需要确认。,보통,
K130112607270038,zh,임금구성_불명확,"시급 13,000원에 포함된 제세수당은 얼마입니까?","时薪13,000韩元里已包含的各项津贴(제수당 포함)金额是多少？","招聘信息只写了“时薪13,000韩元（最低时薪+各项津贴）”，所以需要确认其中津贴占多少。",높음,
K130112607270038,zh,사회보험_미기재,사회보험이 적용됩니까?,这份工作适用社会保险吗？,招聘正文没有写社会保险相关内容，所以需要提前确认是否适用。,높음,
K130042607270020,zh,연장야간_조건미기재,공휴일 근무 시 휴일근로수당이 별도로 있습니까?,法定节假日上班时，另有节假日工作津贴吗？,招聘信息写了“法定节假日必须上班”，但没有说明是否另外支付节假日工作的津贴。,높음,
K130042607270020,zh,사회보험_미기재,4대보험 가입이 됩니까?,可以加入四大保险(4대보험)吗？,招聘信息没有写明是否提供社会保险，需要先确认能否加入。,높음,
K130112607270067,zh,사회보험_미기재,이 일자리는 4대보험에 가입됩니까?,这个岗位会缴纳四大保险(4대보험)吗？,招聘内容里没有写明是否缴纳社会保险，所以需要在应聘前先确认。,높음,
KF10112607280002,zh,임금구성_불명확,"시급 13,000원에서 제수당 포함을 제외한 기본 시급은 얼마입니까?","时薪13,000韩元中扣除已包含各项津贴(제수당 포함)后，基本时薪是多少？","公告只写了时薪13,000韩元并注明已含津贴，所以需要确认不含津贴的基本时薪。",높음,
KF10112607280002,zh,사회보험_미기재,사회보험 가입 여부를 알려주실 수 있습니까?,请问是否提供社会保险？,公告没有写社会保险是否适用，所以需要提前确认。,높음,
KF10112607280002,zh,기타,돌봄 대상이 4등급 70대 할머니 한 분만 맞습니까?,请问照护对象只有1位，是70多岁的4级老奶奶吗？,公告写了夫妻同住，所以需要确认是否只照护一位老人。,보통,
KF10112607280002,zh,기타,근무 중 작은 강아지와 같은 공간에 있게 됩니까?,请问工作时会和小型犬在同一个空间吗？,公告写了有小狗，所以需要提前确认工作时是否会接触到它。,보통,
K130112607290006,zh,사회보험_미기재,4대보험 가입이 됩니까?,会加入四大保险(4대보험)吗？,채용공고 본문에 사회보험 가입 여부가 적혀 있지 않아서 미리 확인이 필요합니다.,높음,
226565,zh,연장야간_조건미기재,해외 시차를 고려한 연장근로나 야간근로가 있습니까?,是否会因海外时差安排加班或夜班？,招聘信息提到要考虑海外时差，但没有写明是否会安排加班或夜班，所以需要先确认。,높음,
226565,zh,사회보험_미기재,사회보험이 적용됩니까?,是否适用社会保险？,招聘信息没有写明是否有社会保险，这会影响实际到手收入，所以需要先确认。,높음,
226565,zh,임금_미확정,퇴직금을 제외한 급여는 얼마입니까?,不含离职补偿金(퇴직금)的工资是多少？,招聘信息只写了面试时协商工资，没有写明具体金额，所以需要先确认。,높음,
226565,zh,기타,입사 후 3개월 시용계약 뒤 정규직 전환 평가가 있습니까?,入职后是否先签3个月试用合同，并在之后评估是否转为正式员工？,招聘信息写了3个月试用和转正评估，这会影响雇佣稳定性，所以最好先确认。,보통,
226565,zh,기타,연봉계약은 1년단위입니까?,年薪合同是否按1年为单位签订？,招聘信息写了1年单位的年薪合同，合同周期会影响续约安排，所以最好先确认。,보통,
K141412607200003,zh,사회보험_미기재,4대보험 가입이 되나요?,请问是否加入四大保险(4대보험)？,招聘信息里没有写社会保险，是否参保会影响实际到手工资和基本保障。,높음,
227611,zh,연장야간_조건미기재,추가 근무가 있으면 연장근로 또는 야간근로 수당이 지급됩니까?,如果有额外工作，会支付加班费或夜间津贴吗？,招聘信息只写了额外工作需要在面试时询问，没有写明是否支付相关津贴。,높음,
227611,zh,사회보험_미기재,사회보험 가입이 됩니까?,会办理社会保险吗？,招聘信息写了午餐等福利，但没有写明是否办理社会保险。,높음,
227611,zh,기타,3개월 계약직은 기간 종료 후 갱신이 가능합니까?,这个3个月的固定期限合同(계약직)在期满后可以续签吗？,招聘信息只写了3个月合同并注明可转正，但没有写明期满后是否可以续签。,보통,
KF11472607200003,zh,사회보험_미기재,4대보험 가입이 됩니까?,请问可以加入四大保险(4대보험)吗？,招聘信息里没有写是否提供社会保险，这会影响实际到手工资和保障。,높음,
227609,zh,수습조건_미기재,수습 3개월 동안 임금이 감액되면 감액률은 몇 %입니까?,3个月的试用期(수습기간)内，如果工资减少，减幅是多少？,招聘信息只写了有3个月试用期，没有写试用期内工资是否会减少以及减少多少。,높음,
227609,zh,임금_미확정,"급여가 면접 후 결정이라고 되어 있는데, 급여는 얼마입니까?",招聘信息写的是面试后决定(면접 후 결정)，请问工资是多少？,招聘信息没有写明确定的工资金额，所以需要在应聘前先确认。,높음,
K130112607160030,zh,사회보험_미기재,이 채용은 4대보험이 적용됩니까?,这份工作适用四大保险(4대보험)吗？,招聘正文没有写明是否提供社会保险，需在应聘前确认。,높음,
